eta3,n,i,j,z_rest_int,trial_id,kappa_true,kappa_hat,a_true,b_true,cos_a_hat,sin_a_hat,cos_b_hat,sin_b_hat,amp_a,amp_b
0.2,3,0,1,0,9,1.073213235,1.088062296,0.536606618,-0.536606618,0.86328125,0.540039063,0.865234375,-0.505859375,1.018281251,1.002259563
0.2,3,0,1,1,9,0.926786765,0.932007256,0.463393382,-0.463393382,0.8984375,0.450195313,0.913085938,-0.4609375,1.004920773,1.022833959
0.2,3,0,1,0,10,1.073213235,1.057834508,0.536606618,-0.536606618,0.860351563,0.475585938,0.859375,-0.530273438,0.983049742,1.009809541
0.2,3,0,1,1,10,0.926786765,0.981379415,0.463393382,-0.463393382,0.875976563,0.491210938,0.875976563,-0.4453125,1.004302307,0.982668897
0.2,3,0,1,0,11,1.073213235,1.063982427,0.536606618,-0.536606618,0.853515625,0.485351563,0.856445313,-0.521484375,0.981863056,1.002718568
0.2,3,0,1,1,11,0.926786765,0.899157938,0.463393382,-0.463393382,0.912109375,0.40625,0.892578125,-0.46484375,0.998490147,1.006367438
0.2,3,0,1,0,12,1.073213235,1.028679241,0.536606618,-0.536606618,0.880859375,0.494140625,0.868164063,-0.494140625,1.009994156,0.998941338
0.2,3,0,1,1,12,0.926786765,0.940696923,0.463393382,-0.463393382,0.890625,0.4453125,0.897460938,-0.463867188,0.995749021,1.0102519
0.2,3,0,1,0,13,1.073213235,1.101911557,0.536606618,-0.536606618,0.842773438,0.522460938,0.874023438,-0.532226563,0.991580808,1.02331915
0.2,3,0,1,1,13,0.926786765,0.960403262,0.463393382,-0.463393382,0.87890625,0.440429688,0.90625,-0.490234375,0.98308418,1.030348875
0.2,3,0,1,0,14,1.073213235,1.030098917,0.536606618,-0.536606618,0.846679688,0.51953125,0.8671875,-0.451171875,0.993367612,0.977532721
0.2,3,0,1,1,14,0.926786765,0.902328467,0.463393382,-0.463393382,0.885742188,0.416992188,0.887695313,-0.442382813,0.978990147,0.991819298
0.2,3,0,1,0,15,1.073213235,1.085936865,0.536606618,-0.536606618,0.864257813,0.517578125,0.844726563,-0.513671875,1.007387057,0.988646428
0.2,3,0,1,1,15,0.926786765,0.898863333,0.463393382,-0.463393382,0.888671875,0.416992188,0.890625,-0.44140625,0.981641577,0.994008233
0.2,3,0,1,0,16,1.073213235,1.070414486,0.536606618,-0.536606618,0.890625,0.504882813,0.857421875,-0.53125,1.023777097,1.008661903
0.2,3,0,1,1,16,0.926786765,0.911025765,0.463393382,-0.463393382,0.895507813,0.4296875,0.892578125,-0.446289063,0.993260082,0.997932681
0.2,3,0,1,0,17,1.073213235,1.068662697,0.536606618,-0.536606618,0.8671875,0.508789063,0.857421875,-0.51171875,1.005425517,0.99851307
0.2,3,0,1,1,17,0.926786765,0.908599079,0.463393382,-0.463393382,0.903320313,0.434570313,0.908203125,-0.450195313,1.002416552,1.013661056
0.2,3,0,1,0,18,1.073213235,1.099146113,0.536606618,-0.536606618,0.874023438,0.540039063,0.842773438,-0.51171875,1.027404087,0.985963055
0.2,3,0,1,1,18,0.926786765,0.93888418,0.463393382,-0.463393382,0.869140625,0.422851563,0.877929688,-0.463867188,0.96654481,0.992941742
0.2,3,0,1,0,19,1.073213235,1.066869792,0.536606618,-0.536606618,0.869140625,0.516601563,0.8671875,-0.508789063,1.011079918,1.005425517
0.2,3,0,1,1,19,0.926786765,0.890021583,0.463393382,-0.463393382,0.897460938,0.4296875,0.900390625,-0.427734375,0.995021348,0.996824946
0.2,4,0,1,0,0,1.175663354,1.127901703,1.087831677,-0.087831677,0.467773438,0.87109375,0.997070313,-0.049804688,0.988744815,0.998313435
0.2,4,0,1,1,0,1.029236884,1.078578565,1.014618442,-0.014618442,0.518554688,0.857421875,1,-0.051757813,1.00203355,1.00133854
0.2,4,0,1,2,0,0.970763116,0.916447428,-0.014618442,-0.985381558,1,-0.057617188,0.571289063,-0.840820313,1.001658495,1.016538239
0.2,4,0,1,3,0,0.824336646,0.869065114,-0.087831677,-0.912168323,0.99609375,-0.090820313,0.572265625,-0.817382813,1.000225519,0.997798881
0.2,4,2,3,0,0,1,0.985113039,1.05122506,0.05122506,0.500976563,0.845703125,0.997070313,0.05078125,0.9829503,0.998362631
0.2,4,2,3,1,0,1,1.027329277,0.94877494,-0.05122506,0.567382813,0.822265625,0.999023438,-0.060546875,0.999021528,1.00085651
0.2,4,2,3,2,0,1,1.01310744,-0.05122506,-1.05122506,0.997070313,-0.077148438,0.456054688,-0.875,1.000050543,0.986717223
0.2,4,2,3,3,0,1,1.046411449,0.05122506,-0.94877494,0.998046875,0.090820313,0.576171875,-0.815429688,1.002170591,0.998448599
0.2,4,0,1,0,1,1.175663354,1.200132716,1.087831677,-0.087831677,0.458984375,0.893554688,0.993164063,-0.103515625,1.004542999,0.99854411
