run_id,eta3,n,i,j,trial_id,num_contexts,kappa_ctx_R_trial,kappa_ctx_circ_var_trial,kappa_ctx_circ_mean_trial,amp_min_mean_ctx_trial,amp_min_q10_ctx_trial,shots_per_setting
20260111_161159,0.2,4,0,1,11,4,0.993151234,0.006848766,1.010931037,0.992652246,0.985409024,2048
20260111_161159,0.2,4,0,1,12,4,0.991151137,0.008848863,0.984858751,0.991836739,0.981933098,2048
20260111_161159,0.2,4,0,1,13,4,0.987403066,0.012596934,1.030856708,0.993844999,0.982893757,2048
20260111_161159,0.2,4,0,1,14,4,0.992306694,0.007693306,0.981331175,0.991278808,0.979578937,2048
20260111_161159,0.2,4,0,1,15,4,0.991195001,0.008804999,0.993536023,0.994021551,0.982765763,2048
20260111_161159,0.2,4,0,1,16,4,0.993938793,0.006061207,0.996802643,0.995677921,0.98862878,2048
20260111_161159,0.2,4,0,1,17,4,0.992265373,0.007734627,0.999301241,0.996968107,0.992789036,2048
20260111_161159,0.2,4,0,1,18,4,0.991671803,0.008328197,0.997834494,0.990579663,0.977528219,2048
20260111_161159,0.2,4,0,1,19,4,0.993810582,0.006189418,0.986945495,0.993477073,0.984163374,2048
20260111_161159,0.2,4,2,3,0,4,0.999750052,0.000249948,1.017990796,0.991784412,0.984080377,2048
20260111_161159,0.2,4,2,3,1,4,0.999817493,0.000182507,1.008701661,0.996622333,0.991646951,2048
20260111_161159,0.2,4,2,3,2,4,0.999909482,9.05E-05,1.009170061,0.991455619,0.985513338,2048
20260111_161159,0.2,4,2,3,3,4,0.999586381,0.000413619,0.995574838,0.991484136,0.981801284,2048
20260111_161159,0.2,4,2,3,4,4,0.999894134,0.000105866,0.979727236,0.9964189,0.990971694,2048
20260111_161159,0.2,4,2,3,5,4,0.999958949,4.11E-05,0.979145682,0.991831868,0.982556997,2048
20260111_161159,0.2,4,2,3,6,4,0.999693507,0.000306493,1.019788064,0.989788963,0.979372308,2048
20260111_161159,0.2,4,2,3,7,4,0.999922476,7.75E-05,1.01802539,0.994354915,0.988641707,2048
20260111_161159,0.2,4,2,3,8,4,0.999042197,0.000957803,0.972305398,0.997560207,0.99516392,2048
20260111_161159,0.2,4,2,3,9,4,0.999869503,0.000130497,1.00735091,0.996888158,0.991719205,2048
20260111_161159,0.2,4,2,3,10,4,0.999835717,0.000164283,1.017544076,0.995984398,0.993460486,2048
20260111_161159,0.2,4,2,3,11,4,0.99983326,0.00016674,0.98304602,0.990390935,0.983010759,2048
20260111_161159,0.2,4,2,3,12,4,0.99992316,7.68E-05,0.987984302,0.999710361,0.998567243,2048
